Hello!	¡Kumusta!
There's nothing I can do that Tom can't.	Waráy ko nahihimo nga dírì nahihimo ni Tom.
Tom can't afford to take a vacation now.	Diri ni Tom akus pagbakasyon yana.
Tom can't afford to take a vacation now.	Diri makabakasyon yana hi Tom.
Turn on the light. I can't see anything.	Abrehi't suga. Waray ko nakikit'an.
Turn on the light. I can't see anything.	Palagaha iton suga. Waray ko nakikit'an.
Wherever you may go, you'll be welcomed.	Bísan ka pa mapakaín, karawaton ka 'ton.
You bought a coat yesterday, didn't you?	Pumalit ka ano hin coat kakulop?
You're the one who knows how to do this.	Ikaw iton maaram himuon ini.
Are you going to invite her to the party?	¿Kumbidahun mo hiya hiton katitiruk?
Have you received an invitation from Tom?	¿Nakakarawat ka hin inbitasyon tikang kan Tom?
He has only one servant to attend on him.	May-ada la niya usa nga alalay nga mag-atiman ha iya.
I came here to tell you what I found out.	Kumanhi akó pára igsumat ha imo an ákòn nabilingan.
I found something I think you should see.	May-ada ako naagian nga kinahanglan mo makit-an.
I haven't talked to Tom in almost a year.	Usa na katuig nga waray ko makaestorya hi Tom.
I just hope nothing goes wrong this time.	Unta waray mahitabo nga sayop yanâ.
I really don't have anything else to say.	Waray ko gud iba nga mayayakan.
I thought Tom wasn't very good at French.	Kasiring ko diri gud maaram hi Tom ha French.
I'll arrive at the station at about 1:35.	Maabot ako ha estayon hiton 1:35.
There are some good apples in the basket.	May-ada mga maúpay nga mansanas ha basket.
This is the hardest thing I've ever done.	Amo ini an guiku'kurii nga akon ginhimo.
Tom didn't tell anyone who he really was.	Waray ginsumatan hi Tom kun hin-o gud hiya.
Tom said that Mary won't do that anymore.	Yakan ni Tom nga diri na gud iton bubuhaton ni Mary bisan san-o.
Tom says he sees things that I can't see.	Yakan ni Tom nagpapakita hiya hin mga butang nga diri ako nakita.
Tom walked in and looked around for Mary.	Umabot hi Tom ngan namiling kan Mary.
When was the last time you played violin?	Kakan-o ka urhi nga nag-byolin?
When was the last time you threw a party?	Kakan-o ka urhi nga nagpa-party?
Who cared for the dog when you were away?	Hin-o an nagtimangno han ayam han waray ka?
You have, no doubt, heard of our company.	Nakabati ka na gud han amon kompanya.
I think you need to study a little harder.	Kinahanglan mo mag-estudyo pa hin tiniupay.
I used to go home for lunch in those days.	Paraulí ak ha baláy kun paningudto hadto.
I'm going to leave the three of you alone.	Babayaan ta kamó la nga tulô.
It's not necessary to write a long letter.	Diri kinahanglan maghimu hin halaba nga surat.
She had a little round object in her hand.	May-ada niya gutíay ngan lidong nga butáng ha iya kamot.
She is more beautiful than any other girl.	Mas mabaysay hiya ha bisan hin-o ha mga kababayin-an.
There is a marked difference between them.	May-ada sabot nga pagkakaiba ha ira.
There used to be a large cedar tree there.	May dako nga kahoy hin cedar ngada hadton una.
They probably saw our ship come into port.	Bángin nakit-an nira an at' barko nga tipapantalan.
This kind of wood is tough to saw through.	Matig-a masirutso ini nga klase hin kahoy.
Tom wasn't the first one to be eliminated.	Diri hi Tom an una nga nataktak.
Tom wasn't the first one to be eliminated.	Diri hi Tom an una nga natanggal.
You shouldn't have gone there by yourself.	Dírì ka untâ angay kinmádto nga nag-uusáan ka là.
Almost everybody I know has been to Boston.	Haros ngatanan nga akon kilala napakadto na ha Boston.
He said he had more important things to do.	Yakan niya may-ada niya mas importante nga hirimuon.
He said he had more important things to do.	Yakan niya may mas importante niya na buruhaton.
I heard a knock on the door and it was Tom.	Nakabati ak' may-ada nagtuktok ha purtahán ngan hi Tom ádto.
I really do want to get to know you better.	Diri ko gud karuyag nga makilala ka pa.
I'm sure that Tom has never been to Boston.	Sigurado ako waray pa makakadto hi Tom ha Boston.
If you don't know the way, ask a policeman.	Kun dírì ka maaram hiton dalan, pagpakiana ha pulis.
Is there anyone here who can speak English?	¿Mayda ba dinhi nga naka-Iningles?
It is doubtful whether he will come or not.	Alanganin pa kun mapakanhi hiya o diri.
It is doubtful whether he will come or not.	Tiriguon pa kun mapakanhi hiya o diri.
It is doubtful whether he will come or not.	Diri sigurado kun mapakanhi hiya o diri.
Soon you'll get used to living by yourself.	Mahihiara ka nala hiton pag-ukoy nga ikaw la.
The child was scared to get into the water.	Nahadlok ini nga bata nga kumada ha tubig.
This is the pool where Tom learned to swim.	Amo ini an pool diin hi Tom nagmaaram paglangoy.
Tom could hardly understand what Mary said.	Hi Tom waray gud makasabot han yakan ni Mary.
Tom went up to the bar and ordered a drink.	Kumadto ha bar hi Tom ngan nag-order hin irinumon.
Tom would like to take part in the contest.	Karuyag ni Tom bumulig ha pasundayag.
Water the flowers before you eat breakfast.	Bisibsi anay it mga bukad san-o ka manmahaw.
Water the flowers before you eat breakfast.	Bisibsi anay it mga tanum san-o ka ma'mahaw.
Water the flowers before you eat breakfast.	Pamisibis anay hiton mga bukad san-o ka manmahaw.
Water the flowers before you eat breakfast.	Panbisibsi anay iton mga bukad san-o ka ma'mahaw.
When I woke up, I found I had been tied up.	Pagmata ko, nakagapus na ako.
When she heard the news, she was not happy.	Han nabatian niyq an notisya, waray hiya magmalipayon.
Do you think we can glue that back together?	Iton imo pag-abat puyde naton iton papagsumpayon utro?
I assume that Tom and Mary will get married.	Igkakasal gud ini hi Tom ngan Mary.
Is there anyone who can pronounce this word?	¿Mayda bà nakaluwás hiní nga púlong?
It seems that Tom has no idea where Mary is.	Baga hinin diri maaram hi Tom kun hain dapit hi Mary.
Take hold of the rope, and I'll pull you up.	Kapti iton pisi, ngan huguton ko ikaw.
The time is always right to do what's right.	It paghimu hin asya permi ada ha panahon.
This golf course is not open to non-members.	Diri abre ini nga golf course para ha mga diri nganhi myembro.
Tom is very unhappy about what has happened.	Diri malipayun hi Tom han natabu.
We can't trust Tom with something like this.	Diri namon matatapuran hi Tom hiton sugad hini nga butang.
Don't carry too much baggage when you travel.	Ayaw pagdamo hin duro nga bagahe nga darad-on kun nalakat ka.
He managed to get himself promoted last week.	Nahimu niya nga mapromot an iya kalugaringon han una nga simana.
I can't talk to you here. It's too dangerous.	Diri ako makikig-estorya haim dinhi. Uraura ka delikado.
I don't intend to stay in Boston much longer.	Diri ako magdugay gud ha Boston.
I don't think I can find the time to do that.	Iton ákòn pagkitá dírì akó makalugar paghimo hiton.
I haven't been able to solve the problem yet.	Waray ko pa ka-solbar an problema.
I thought I'd have another chance to do that.	Gasi ko magkakaadà hi akó hin laín nga higayón pagbúhat hitón.
I was badly in need of his help at that time.	Kinahanglanon ko gud an iya bulig hadto nga panahon.
I'm not sure you'll have the time to do that.	Dírì akó sigurado kun may panahón ka pa buháton iton.
I've heard they don't let girls in this club.	It ákòn báti dírì hirá nakuha hin babayí hin nga klab.
The cause of the accident is still not clear.	Diri pa klarado an tinikangan han aksidente.
The crime rate is increasing in this country.	Nahitaas iton kriminalidad hini nga nasud.
The man turned out to be a private detective.	An lalaki usa ngay-an nga private detective.
The question is whether he will come on time.	Iton pakiana yana kun maabot hiya ha oras.
Why did you buy such an expensive dictionary?	Kay-ano ka pumalit hin sugad kamahal nga diksyunaryo?
You don't need to be in that much of a hurry.	Diri mo kinahanglanon malisang hin sugad hiton.
You're probably too young to understand this.	Bangin bata ka pa hin duro para makasabut hini.
Everybody knows she married him for his money.	Ngatanan maaram nga nagpakasal la iton hiya agi hiton iya salape.
Hurry up, and you will be in time for the bus.	Dagmíta, ngan mahiabót ka hit' bus.
Learning a new language is difficult at first.	Makurî pag-aram hin bag-o nga yinaknan ha katikangan.
Many people were killed in the plane accident.	Damo an namatay ha aksidente han eroplano.
The Socialist Party only got 18% of the votes.	An Partido Sosyalista nakakúhà là hin 18% han mga botos.
The boat began to take in water and soon sank.	An baluto nagtikang pagsakba hin tubig ngan sunod lumunod.
They were walking along the street arm in arm.	Magkasapit nga naglalakat hira ha dalan.
They were walking along the street arm in arm.	Magkadungan hira nga naglalakat ha dalan.
Tom sat at the bar, just staring at his drink.	Hi Tom nakadto ha bar, nagkikinita la ha iya irinumon.
Tom usually sits in the back of the classroom.	Kasagaran ha luyohan han classroom nalingkod hi Tom.
A lot of people are dealing with allergies now.	Damo iton may-allergy na yana nga tawo.
He likes to watch the birds fly above his head.	Karuyag niya pagkinita hiton mga tamsi nga nagkakalupad ha igbaw hit' iya may ulohan.
He picked up a mirror and looked at his tongue.	Pumurot hiya hin salamin ngan ginkita an iya dila.
I think something terrible has happened to Tom.	Pag-abat ko may natabo nga maraot kan Tom.
I was wondering when you were going to tell me.	Napapausa ako san-o ka magsusumat ha akon.
Nobody is in the living room, but the TV is on.	Waray tawu ha sala pero abre iton TV.
The rain didn't stop them from doing their job.	Waray hira mapudngi han uran nga mahimo an ira trabaho.
Tom's bedtime is nine o'clock on school nights.	Alas nuybi iton ikakaturog ni Tom basta may-ada klase.
Would you like to go to a movie tomorrow night?	¿Marurúyag ka ba pagkitâ hin siné buwás nga gab-i?
A thief broke into the house while we were away.	Nakasakob an usá nga kawatán ha ámon panimalay han kami ádto haráyo.
Do you really think Tom will want to go with us?	¿Iton imo pag-ábat maupod gud hi Tom ha atun?
I bought forty dollars' worth of gasoline today.	Pumalít akó hin gasolina kantidad kwarenta dolyares yanâ nga ádlaw.
I can't reach any of the books on the top shelf.	Dírì akó nakakaabot han mga libro ha bawbaw han burtangan.
I had left the key in the office the day before.	Nabayaanan ko an susi ha opisina san-o iton nga adlaw.
I need you to tell me everything I need to know.	Karuyag ko isumat mo ha akon tanan nga kinahanglanon ko mahibaroan.
I think it's time for us to start getting ready.	Oras na para kita mag-andám.
I've got to find something to do after I retire.	Kinahanglan may pagburohaton ako pagkatapos ko magretiro.
If he'd been alone at that time, he'd have died.	Kun nag-uusahan la adto hiya, namatay na gud adto.
Mary covered her face to avoid being recognized.	Gintahuban ni Mary an iya nawong para diri hiya makilal-an.
The situation called for quick, decisive action.	Kinahanglanon hin madagmit nga gios ini nga sitwasyon.
Their oldest sister still hasn't gotten married.	An íra magurang nga babayí waráy pa paka-asawa.
There is no use in crying. No one will hear you.	Waráy gamit iton imo pagtinuok. Waráy man ngani mabati ha imo.
They are in favor of the reform of the tax laws.	Naabuyon hira han reporma han balaud pamuwis.
We have to cross a bridge to get to Tom's house.	Kinahanglan naton tumabok hin tulay para maka-kadto hiton balay ni Tom.
We must make sure that Tom doesn't hurt himself.	Siguraduha ta nga diri mauul-ulan hi Tom.
You should call your father as soon as possible.	Tawága it' im' amáy yana dayon.
Do you really think this will ruin my reputation?	¿Ginhuhunahuna mo gud nga makakaruba inin hit akun reputasyon?
He was made to wait at the station for two hours.	Pinaghulat hiyá ha istasyon hin duha ka-oras.
I had a problem similar to that not too long ago.	May-ada ako sugad nga problema han yanâ la.
I received a coded message from Tom this morning.	Nakakarawat hi akó hin kinodigo nga mensahe tikang kan Tom kanina han aga.
I think it's a little too cold to go on a picnic.	Pag-abat ko mataghumay yana para hin piknik.
It's essential that you understand the situation.	Importante nga nakakaintinde ka hiton sitwasyon.
It's really not as hard to do as you think it is.	Diri gud iton makuri buhaton sugad hiton imo kasiring.
Tom opened the freezer and got out the ice cream.	Gin-abrehan ni Tom an freezer and igingawas an ice cream.
When I got home, I realized I had lost my wallet.	Pag-uli nasabotan ko nga nawara an akon pitaka.
I don't think I'll have the time to do that today.	It' ak' pagkitá waray ko panahón himuon it' yanâ nga ádlaw.
I will have finished reading this book by Tuesday.	Mahuhuman ko basahon ini nga líbro hiton Martes.
If everyone agrees to it, I won't vote against it.	Kun sumige iton kadam-an, dírì akó mabutos kontra hiton.
It grew dark, and what was worse, we lost our way.	Nagsisirom na, ngan an malain, nawarâ kami.
It is next to impossible to make him stop smoking.	Kaimposible nga pahuyuon hiyá pagsigarilyo.
Some people believe in God and other people don't.	Iton iba nga tawo natuod hiton Ginoo, iton iba diri.
The typhoon struck the city, causing great damage.	Ginlasurbo ngan nakahatag hin dako nga distruso an bagyo ha syudad.
Could you come to my office when you have a moment?	¿Puydi ka kumadí hiton ákòn opisina kun may panahon ka?
Is it true that you brought your dog to the office?	Matuod nga gindara nimo an imo ayam ha opisina?
Is it true that you brought your dog to the office?	Manggud gindara nimo an imo ayam ha opisina?
Tom knows nothing about what's been happening here.	Waray maaram hi Tom hiton mga nahihitabo dinhi.
Tom told Mary that he didn't think John was honest.	Ginsidngan ni Tom hi Mary han iya pagkita nga diri tangkud hi John.
Would you like to know who that beautiful woman is?	Karuyag nimo masab'tan hin-o iton nga mahusay nga babaye?
Because of hunger and fatigue, the dog finally died.	Ági han gútom ngan dúro nga kakápoy, namatay na gihapon an áyam.
Extremely loud music interrupted their conversation.	An duro kakusog han tukar an nakaulang ha ira estórya.
For the past 10 years, I've fed my dog dry dog food.	Han nakalabay nga diyes tuig, mamara nga pagkaun para ayam an akun ginpakaun han akun alaga nga ayam.
How do you know that you can't do it unless you try?	Ano nimo pakasabot nga diri mo mahihimo kun diri nimo pruybahan?
My father ought to have had an operation for cancer.	It akon amay ooperahan kanan kanser.
Next week, I will probably read a book and watch TV.	Hiton sunod nga semana, magbasa ak' adá libro ngan magkitá TV.
We are not alone in believing that he is not guilty.	Diri la hi kita iton natuod nga hiya an salaan.
I prefer walking to driving in a big city like Tokyo.	Mas pinili ko iton paglakat kontra pagmaneho ha dako na syudad paru hiton Tokyo.
I wasn't able to catch the ball that Tom threw to me.	Waray ak pakasalo han bola nga gin-itsa ha ak ni Tom.
I'm really bad with names, but I never forget a face.	Hingalimtanon ako hiton ngaran pero diri hiton nawong hit usa nga tawo.
Tom is going to try to talk to Mary about that today.	Kikitaon ni Tom makig-estorya kan Mary parte hiton yanâ nga ádlaw.
I am not so poor that I cannot send my son to college.	Diri ako sugad kapobre nga diri ko akos magpakolehiyo hin anak.
I heard Tom humming to himself while he washed dishes.	Nabatian ko hi Tom na nagkikinantahun nga naghuhugas.
She didn't show up at the party, but nobody knows why.	Waray hiya magpakita ha party ngan waray maaram kun kay-ano.
She didn't show up at the party, but nobody knows why.	Waray may-maaram kun kay-ano waray hiya kitaa han kadamo.
She hadn't noticed the cold until she opened the door.	Waray niya abata an taghum ngada han abrehan niya an purtahan.
Some students aren't going to come back next semester.	It iba nga estudyante dira na mabalik hit sunod na semester.
The flood was the greatest disaster they had ever had.	An baha an pinakamakusog nga distroso nga ira gin-ábat.
Three missionaries were killed and eaten by cannibals.	Tulo nga misyonaryo an pinátay ngan kináun han ira igkasi tawo.
Three missionaries were killed and eaten by cannibals.	Tulo nga misyonaryo an pinamatay ngan pinangaun han mga kanibal.
He tends to get angry when he doesn't have his own way.	Nag-iisug hiya kun waray niya kalugaringon pamaagi.
I had been reading a book for some time when he called.	Madugayay na akó nga nagbibinasa hin libro han tumawag hiyá.
I'm tired of waiting to do all the things I want to do.	Ginkakapapoy na ako paghinulat para mabuhat iton mga butang na akon karuyag.
Since my mother was sick, I couldn't go to the concert.	Masakít it akun iroy sanglit diri ako makakakadto ha konsert.
Tom couldn't bear the pain any more so he shot himself.	Diri na makailub hi Tom han ul-ul sanglit ginpusil nala niya an iya kalugaringon.
Tom didn't have any money, so he couldn't buy any food.	Waráy kwárta ni Tom, sanglit dírì na hiyá makaparalit hin pagkáon.
Tom knows that Mary still isn't telling him everything.	Maaram hi Tom nga dírì pa ginsusumat ni Mary iya an ngatanan.
Compare your translation with the one on the blackboard.	Ikumpara itonit imu pagtranslit heton aada ha blakbord.
If I had known her address, I would have written to her.	Kun maaram la'k han iya adres nagsurat na'k unta ha iya.
If I had known her address, I would have written to her.	Kun maaram la ako han iya adres nagsurat na ako unta ha iya.
The last time I saw Tom he was headed towards the beach.	Urhi ko nga nakit'an hi Tom tipakadto ha baybayon.
You bought me a beer, remember? Now, let me buy you one.	Nahihinumduman mo ginpalitan mo ako hin beer? Yana ako liwat iton mapalit ha imo.
If your answer is correct, it follows that mine is wrong.	Kun amo iton imo baton, karuyag sidngun sayup an akon.
Tom knew he was probably not going to be able to do that.	Maaram hi Tom nga diri niya maburuhat iton nga butang.
He knows other and easier ways of getting what he desires.	Maaram hiya hin iba nga mas masayon nga pamaagi para makuha kun ano iton iya karuyag.
I'd like to say it's been fun working here, but it hasn't.	Karuyag ko unta sumiring nga marisyo an pagtrabaho nganhi, pero dírì.
I borrowed money not only from Tom, but from his wife, too.	Umutang ako hin kwarta diri la kan Tom, pati gihapon ha iya asawa.
My grandmother had been sick for a week when I visited her.	Usá na kasimana nga masakít hi lola han ginbisita ko hiya.
The thing that scares me the most is that I might lose you.	Iton butang nga kinahahadlokan ko ini hin mawara ka ha akon.
The wedding ceremony will be held regardless of the weather.	Iton kasál magpapadayon bisan áno pa iton panahón.
The wedding ceremony will be held regardless of the weather.	Iton kasál pagbubuhaton bísan áno it' panahón.
This city has been increasing in population year after year.	Nagdidinako la iton popolasyun hini nga syudad kada tuig.
What time tomorrow morning would you like me to pick you up?	Ano nga oras buwas hiton aga it imo karuyag nga kuhaon ko ikaw?
Judging from how the sky looks, we'll be having fine weather.	Ha pagkita ko hiton langit, magiging maupay iton aton panahon yana.
Hi. If I'm not mistaken, you're our new neighbors, aren't you?	Kun dírì ako nagsasayop kamó iton ákòn bag-o nga anyaw anó?
Tom says he knows something about Mary that we don't know yet.	Siring ni Tom may-ada niya maaram kan Mary nga diri pa kita mag-aram.
You must not forget to check your paper before you hand it in.	Ayaw kalimti pagkita hit imo papel san-o nimu ipasa ngadi.
It never occurred to me that Tom might not be telling the truth.	Waray pa iton natabo nga nagbuwa ha ak hi Tom.
It never occurred to me that Tom might not be telling the truth.	Waray pa magbinuwa ha ak hi Tom.
You're the only one here who thinks it's a good idea to do that.	Ikaw la dinhi an nakapanhunahuna nga maupay himuon iton nga ideya.
I'll be glued to the TV tonight watching a really exciting program.	Magkikita la ak hin mag-upay na pasalida ha TV yana na gab-i.
Tom knew that Mary thought John and Alice were going to get married.	Maaram hi Tom nga kasiring ni Mary nga igkakasal hira John ngan Alice.
I can't believe that this is happening. Please tell me that it's a lie!	Dírì akó makatuod nga ini natatabo. ¡Alayon yakni ako nga buwa la ini!
There's often a simple solution to what seems like a complicated problem.	Kasagaran may-ada simple nga solusyon ha sugad hin komplikado nga problema.
As long as you do what you've been told, we'll have absolutely no problem.	Basta himuon mo la ano it ginsiring ha imo, waray gud naton magiging problema.
I saw many people who had no clothes and I saw many clothes which had no people in them.	Nakakita ako hin damo nga tawo nga waray mga hiniro and nakakita ako'n mga bado nga waray nagsusul-ot ha ira.
Tom isn't your average guy. He doesn't like things most guys like and he doesn't like to do things most men enjoy doing.	Hi Tom diri parú hit ibá. Diri niya karúyag it mga butáng ngan mga gihihimo nga kalilibangan hit kadam-an nga kalalakin-an.
If one has the right to live, then one should also have the right to die. If not, then living is not a right, but an obligation.	Kun iton usá may-katungod mabuhi, may-katungod gihapon niya iton kamatayon. Kay kun dírì, iton kabuhi dírì usa nga katungod, kundi usa nga obligasyon.
