Hi.	สวัสดี
Is your father a doctor?	พ่อของคุณเป็นหมอหรือ?
It may freeze next week.	มันอาจแข็งในสัปดาห์หน้า
It's awfully cold today.	วันนี้อากาศหนาวมาก
It's the correct answer.	นั่นคือคำตอบที่ถูกต้อง
Mary has just come home.	แมรี่เพิ่งกลับมาถึงบ้าน
My father went to China.	พ่อของฉันไปที่ประเทศจีน
My parents are divorced.	พ่อแม่ของฉันหย่ากัน
My uncle gave me a book.	ลุงของฉันให้หนังสือแก่ฉัน
She came home very late.	เธอกลับบ้านดึกมาก
She has attractive eyes.	เธอมีดวงตาที่น่าดึงดูด
She is very intelligent.	เธอฉลาดมาก
She knows many proverbs.	เธอรู้สุภาษิตมากมาย
She must be over eighty.	เธอต้องมีอายุมากกว่า 80 ปี
She usually wears jeans.	เธอมักจะใส่กางเกงยีนส์
She'll make a good wife.	เธอจะสร้างภรรยาที่ดี
Stay away from the door.	อยู่ห่างจากประตู
Study English every day.	เรียนภาษาอังกฤษทุกวัน
Thank you for listening.	ขอบคุณสำหรับการรับฟัง
That's absolutely right.	นั่นถูกต้องอย่างแน่นอน
The exit is on the left.	ทางออกอยู่ทางซ้าย
The printer needs paper.	เครื่องพิมพ์ต้องการกระดาษ
There is a page missing.	มีหน้าหายไป
There's no one with Tom.	ไม่มีใครอยู่กับทอม
They say it's up to you.	พวกเขาบอกว่ามันขึ้นอยู่กับคุณ
This river is beautiful.	แม่น้ำสายนี้สวยงาม
Tom doesn't like school.	ทอมไม่ชอบโรงเรียน
Tom is a French teacher.	ทอมเป็นครูสอนภาษาฝรั่งเศส
Tom is helping his wife.	ทอมกำลังช่วยภรรยาของเขา
Tom is tidying his room.	ทอมกำลังจัดห้องของเขา
Tom signed the contract.	ทอมเซ็นสัญญา
Tomorrow is my birthday.	พรุ่งนี้เป็นวันเกิดของฉัน
We don't have a problem.	เราไม่มีปัญหา
What a beautiful flower!	ช่างเป็นดอกไม้ที่สวยงามจริง ๆ!
What are you looking at?	คุณกำลังมองอะไรอยู่?
What happened in Boston?	เกิดอะไรขึ้นในบอสตัน?
What sports do you like?	คุณชอบกีฬาอะไร?
What're you saying, Tom?	คุณกำลังพูดว่าอะไร ทอม?
When will you come home?	คุณจะกลับบ้านเมื่อไหร่?
Where is the restaurant?	ร้านอาหารอยู่ที่ไหน?
Where is the toothpaste?	ยาสีฟันอยู่ที่ไหน?
Who are you waiting for?	คุณกำลังรอใคร?
Who are you working for?	คุณทำงานให้ใคร?
Why are you apologizing?	คุณจะขอโทษทำไม?
Will it be hot tomorrow?	พรุ่งนี้จะร้อนไหม?
Write your address here.	เขียนที่อยู่ของคุณที่นี่
You can swim, can't you?	คุณว่ายน้ำได้ไม่ใช่หรือ?
You don't have to hurry.	คุณไม่จำเป็นต้องรีบ
You have beautiful lips.	คุณมีริมฝีปากที่สวยงาม
You must be more polite.	คุณต้องสุภาพมากกว่านี้
You seem busy right now.	ตอนนี้คุณดูยุ่งมาก
You wouldn't believe me.	คุณจะไม่เชื่อฉัน
You're everything to me.	คุณคือทุกสิ่งทุกอย่างของฉัน
Your guests are waiting.	แขกของคุณกำลังรอ
Your house is fantastic.	บ้านของคุณวิเศษมาก
Your house is fantastic.	บ้านของคุณน่าอัศจรรย์มาก
Anyone can make mistakes.	ทุกคนสามารถทำผิดพลาดได้
Are you looking for work?	คุณกำลังมองหางานใช่ไหม?
Are you writing a letter?	คุณกำลังเขียนจดหมายหรือไม่?
Can I cancel this ticket?	ฉันยกเลือกตั๋วนี้ได้หรือไม่?
Curiosity killed the cat.	ความอยากรู้อยากเห็นฆ่าแมวตาย
Did you have a good time?	คุณสนุกไหม?
Did you turn off the gas?	คุณปิดแก๊สไหม?
Do whatever he tells you.	ทำตามสิ่งที่เขาบอกคุณ
Do you have any siblings?	คุณมีพี่น้องไหม?
Do you know what he said?	คุณรู้ไหมว่าเขาพูดอะไร?
Do you like French wines?	คุณชอบไวน์ฝรั่งเศสไหม?
Don't drink so much beer.	อย่าดื่มเบียร์มากนัก
Everybody makes mistakes.	ทุกคนทำสิ่งผิดพลาดหมด
Have you ever seen a UFO?	คุณเคยเห็นยูเอฟโอไหม?
He always keeps his word.	เขารักษาคำพูดเสมอ
He came back from Canada.	เขากลับมาจากแคนาดา
He looks like his father.	เขาดูเหมือนพ่อของเขา
He tried to learn French.	เขาพยายามเรียนภาษาฝรั่งเศส
How far do we have to go?	เราต้องไปอีกไกลแค่ไหน?
How's Tom going to do it?	ทอมจะทำมันได้อย่างไร?
I ate too much yesterday.	เมื่อวานฉันกินมากเกินไป
I can't live without you.	ฉันอยู่ไม่ได้โดยไม่มีคุณ
I can't stand it anymore.	ฉันทนมันไม่ไหวแล้ว
I can't stand it anymore.	ฉันทนมันไม่ได้อีกแล้ว
I can't stand this noise.	ฉันทนเสียงรบกวนนี้ไม่ได้
I don't believe in magic.	ฉันไม่เชื่อในเวทย์มนตร์
I don't know how to cook.	ฉันไม่รู้ว่าจะทำอาหารอย่างไร
I don't like you anymore.	ฉันไม่ชอบคุณอีกต่อไป
I have some French books.	ฉันมีหนังสือภาษาฝรั่งเศส
I learned a lot from Tom.	ฉันเรียนรู้อะไรมากมายจากทอม
I learned a lot from you.	ฉันเรียนรู้อะไรมากมายจากคุณ
I put cream in my coffee.	ฉันใส่ครีมลงไปในกาแฟของฉัน
I received an invitation.	ฉันได้รับคำเชิญ
I should've studied more.	ฉันควรศึกษาเพิ่มเติม
I think that he is right.	ฉันคิดว่าเขาพูดถูก
I told you Tom was ready.	ฉันบอกแล้วว่าทอมพร้อมแล้ว
I used to live in Boston.	ฉันเคยอยู่ที่บอสตัน
I want to find true love.	ฉันต้องการหารักแท้
I'll be flying to Boston.	ฉันจะบินไปบอสตัน
I'll call you back later.	ฉันจะโทรกลับหาคุณในภายหลัง
I'll stay here for a bit.	ฉันจะอยู่ที่นี่สักพัก
I'm glad I'm not a woman.	ฉันดีใจที่ฉันไม่ใช่ผู้หญิง
I'm interested in French.	ฉันสนใจภาษาฝรั่งเศส
I'm not going to do that.	ฉันจะไม่ทำอย่างนั้น
Is your father a teacher?	พ่อของคุณเป็นครูหรือไม่?
It is unfortunately true.	มันเป็นเรื่องจริงที่น่าเสียดาย
It's a bit strange to me.	มันค่อนข้างแปลกสำหรับฉัน
It's time to wake Tom up.	ได้เวลาปลุกทอมแล้ว
Japan is in eastern Asia.	ประเทศญี่ปุ่นอยู่ในเอเชียตะวันออก
Mary is my ex-girlfriend.	แมรี่เป็นแฟนเก่าของฉัน
May I go to the restroom?	ขอฉันไปห้องน้ำได้ไหม?
My brother became a cook.	พี่ชายของฉันไปเป็นพ่อครัว
My brother became a cook.	น้องชายของฉันไปเป็นพ่อครัว
My father drives to work.	พ่อของฉันขับรถไปทำงาน
My father is in his room.	พ่อของฉันอยู่ในห้องของเขา
My husband is a good man.	สามีของฉันเป็นคนดี
No one but Tom does that.	ไม่มีใครนอกจากทอมทำเช่นนั้น
Nobody came to the party.	ไม่มีใครมางานเลี้ยง
One can always find time.	คนหนึ่งสามารถหาเวลาได้เสมอ
Please give me this book.	กรุณาให้หนังสือเล่มนี้แก่ฉัน
Please give me this book.	โปรดให้หนังสือเล่มนี้แก่ฉัน
Please speak more loudly.	กรุณาพูดดังขึ้น
Please tell me your name.	กรุณาบอกชื่อของคุณ
Prices continued to rise.	ราคายังคงเพิ่มขึ้น
She looks like a teacher.	เธอดูเหมือนครู
She looks like a teacher.	เธอดูเหมือนอาจารย์
She made the doll for me.	เธอทำตุ๊กตาให้ฉัน
She was dressed in black.	เธอแต่งตัวด้วยชุดดำ
Should I call you a taxi?	ฉันควรเรียกแท็กซี่ให้คุณไหม?
Thanks for your comments.	ขอบคุณสำหรับคำตอบรับของคุณ
That happened in October.	ที่เกิดขึ้นในเดือนตุลาคม
That is why he got angry.	นั่นคือเหตุผลที่เขาโกรธ
That toy is made of wood.	ของเล่นนั้นทำจากไม้
That's my favorite chair.	นั่นเป็นเก้าอี้ตัวโปรดของฉัน
There's no need to hurry.	ไม่จำเป็นต้องรีบร้อน
These days I'm very busy.	ทุก ๆ วันนี้ฉันยุ่งมาก
They already got married.	พวกเขาแต่งงานกันแล้ว
They have nothing to eat.	พวกเขาไม่มีอะไรกิน
This book belongs to you.	หนังสือเล่มนี้เป็นของคุณ
This box contains apples.	กล่องนี้มีแอปเปิ้ล
This is driving me crazy.	นี่ทำให้ฉันบ้า
Tom and I are doing fine.	ทอมกับฉันสบายดี
Tom arrived home at 2:30.	ทอมกลับถึงบ้านเวลา 2:30 น.
Tom didn't do the dishes.	ทอมยังไม่ได้ล้างจาน
Tom didn't want anything.	ทอมไม่ต้องการอะไร
Tom does want to do that.	ทอมต้องการทำเช่นนั้น
Tom goes to night school.	ทอมไปโรงเรียนกลางคืน
Tom is a very clever man.	ทอมเป็นคนที่ฉลาดมาก
Tom is a very clever man.	ทอมเป็นชายที่ฉลาดมาก
Tom is having dinner now.	ตอนนี้ทอมกำลังทานอาหารเย็น
Tom is looking for a job.	ทอมกำลังมองหางาน
Tom likes to play soccer.	ทอมชอบเล่นฟุตบอล
Tom was speaking to Mary.	ทอมพูดกับแมรี่
Tom worked day and night.	ทอมทำงานทั้งวันทั้งคืน
Walk as fast as possible.	เดินให้เร็วที่สุดเท่าที่เป็นไปได้
Wash your face and hands.	ล้างหน้าและมือของคุณ
We don't have to do this.	เราไม่จำเป็นต้องทำสิ่งนี้
We have run out of sugar.	น้ำตาลเราหมดแล้ว
We went skiing in Canada.	เราไปเล่นสกีในแคนาดา
What are you looking for?	คุณมองหาอะไร?
What do you want with me?	คุณต้องการอะไรจากฉัน?
What does Tom want to do?	ทอมต้องการอะไร
What have you been doing?	คุณทำอะไรลงไป
What school do you go to?	คุณไปโรงเรียนไหน
When did you get married?	คุณแต่งงานเมื่อไร?
Who turned off the light?	ใครปิดไฟ?
Why did you open the box?	ทำไมคุณถึงเปิดกล่อง?
You can do it, can't you?	คุณสามารถทำมันได้ ไม่ใช่หรือ?
You can't erase the past.	คุณไม่สามารถลบอดีตได้
You swim well, don't you?	คุณก็ว่ายน้ำได้ดีไม่ใช่หรือ?
Your daughter's on drugs.	ลูกสาวของคุณติดยาเสพติด
Are you telling the truth?	คุณกำลังพูดความจริงหรือไม่?
Aren't you going to do it?	คุณจะไม่ทำมันเหรอ?
Did the police arrest Tom?	ตำรวจจับกุมทอมไหม?
Do you have a credit card?	คุณมีบัตรเครดิตหรือไม่?
Everything is upside down.	ทุกอย่างกลับหัว
Forgive me for being late.	ยกโทษให้ฉันที่มาสายที
French bread is delicious.	ขนมปังฝรั่งเศสอร่อย
He doesn't understand you.	เขาไม่เข้าใจคุณ
He drank a bottle of wine.	เขาดื่มไวน์หนึ่งขวด
He extended his right arm.	เขาขยายแขนขวาของเขา
He's sleeping like a baby.	เขากำลังนอนหลับเหมือนเด็กทารก
How many colors are there?	มีกี่สี?
I bought a red sports car.	ฉันซื้อรถสปอร์ตสีแดง
I can't live without a TV.	ฉันอยู่ไม่ได้ถ้าไม่มีทีวี
I can't speak French well.	ฉันพูดภาษาฝรั่งเศสไม่เก่ง
I don't care what he does.	ฉันไม่สนใจสิ่งที่เขาทำ
I don't care what he does.	ฉันไม่สนใจว่าเขาทำอะไร
I don't have any cavities.	ฉันไม่มีฟันผุเลย
I don't have time for you.	ฉันไม่มีเวลาสำหรับคุณ
I don't know what that is.	ฉันไม่รู้ว่าสิ่งนั้นคืออะไร
I don't like bad children.	ฉันไม่ชอบเด็กไม่ดี
I don't like what he said.	ฉันไม่ชอบสิ่งที่เขาพูด
I don't understand French.	ฉันไม่เข้าใจภาษาฝรั่งเศส
I don't want to go to bed.	ฉันไม่อยากเข้านอน
I forgot to lock the door.	ฉันลืมล็อคประตู
I got something in my eye.	มีอะไรบางอย่างอยู่ในตาของฉัน
I had Tom take my picture.	ฉันให้ทอมถ่ายรูปฉัน
I have a surprise for you.	ฉันมีเซอร์ไพรส์ให้คุณ
I have no idea who she is.	ฉันไม่รู้ว่าเธอเป็นใคร
I haven't eaten lunch yet.	ฉันยังไม่ได้กินข้าวกลางวัน
I hope we didn't wake you.	ฉันหวังว่าเราไม่ได้ปลุกคุณ
I know you don't know Tom.	ฉันรู้ว่าคุณไม่รู้จักทอม
I like all kinds of music.	ฉันชอบดนตรีทุกประเภท
I think about Tom all day.	ฉันคิดถึงทอมตลอดทั้งวัน
I think it's the best way.	ฉันคิดว่ามันเป็นวิธีที่ดีที่สุด
I turned the computer off.	ฉันปิดคอมพิวเตอร์
I want to buy this jacket.	ฉันอยากซื้อแจ็คเก็ตตัวนี้
I want to know the reason.	ฉันต้องการทราบเหตุผล
I want to know the reason.	ฉันอยากรู้เหตุผล
I was nearly hit by a car.	ฉันเกือบโดนรถชน
I work for an oil company.	ฉันทำงานให้บริษัทน้ำมัน
I'll go with Tom and Mary.	ฉันจะไปกับทอมกับแมรี่
I'll wait at the bus stop.	ฉันจะรอที่ป้ายรถเมล์
I'm never late for school.	ฉันไม่เคยมาโรงเรียนสาย
I'm not going to say that.	ฉันจะไม่พูดอย่างนั้น
I'm not going to touch it.	ฉันไม่แตะมันหรอก
If only I could sing well.	ถ้าเพียงแค่ฉันร้องเพลงได้ดี
It depends on the context.	มันขึ้นอยู่กับบริบท
It's a difficult language.	มันเป็นภาษาที่ยาก
It's always been that way.	มันเป็นอย่างนั้นเสมอ
Japanese houses are small.	บ้านญี่ปุ่นมีขนาดเล็ก
My work is just beginning.	งานของฉันพึ่งเริ่มเท่านั้น
Our teacher seldom laughs.	อาจารย์ของเราไม่ค่อยหัวเราะ
She advised him not to go.	เธอแนะนำให้เขาไม่ไป
She walked very carefully.	เธอเดินอย่างระมัดระวัง
Staying at home is boring.	อยู่ที่บ้านน่าเบื่อ
Thank you for your advice.	ขอบคุณสำหรับคำแนะนำของคุณ
Thanks for the compliment.	ขอบคุณสำหรับคำอวยพร
That book was interesting.	หนังสือเล่มนั้นน่าสนใจ
That's from Tom, isn't it?	นั่นมาจากทอมไม่ใช่หรือ?
The company went bankrupt.	บริษัทล้มละลาย
The king abused his power.	กษัตริย์ใช้อำนาจในทางที่ผิด
The situation is hopeless.	สถานการณ์สิ้นหวัง
They live near the school.	พวกเขาอาศัยอยู่ใกล้โรงเรียน
They worship every Sunday.	พวกเขานมัสการทุกวันอาทิตย์
This coffee is too bitter.	กาแฟนี้ขมเกินไป
This is my younger sister.	นี่คือน้องสาวของฉัน
This machine is worthless.	เครื่องยนต์นี้ไร้ค่า
Tom died at the age of 97.	ทอมเสียชีวิตเมื่ออายุ 97 ปี
Tom has the right to vote.	ทอมมีสิทธิ์ในการออกเสียงลงคะแนน
Tom is Mary's grandfather.	ทอมเป็นปู่ของแมรี่
Tom wants his money today.	ทอมต้องการเงินของเขาในวันนี้
We're not going to Boston.	เราจะไม่ไปบอสตัน
What country are you from?	คุณมาจากประเทศอะไร?
What kind of fish is that?	นั่นเป็นปลาชนิดอะไร?
What's your father's name?	พ่อของคุณชื่ออะไร?
What's your friend's name?	เพื่อนของคุณชื่ออะไร?
Which color do you prefer?	คุณชอบสีอะไร?
Write on every other line.	เขียนทุกบรรทัด
Yeah, that's what I'll do.	ใช่นั่นคือสิ่งที่ฉันจะทำ
Yesterday was my birthday.	เมื่อวานเป็นวันเกิดของฉัน
You are tired, aren't you?	คุณเหนื่อยแล้วไม่ใช่หรือ?
You can stay till tonight.	คุณสามารถอยู่ได้จนถึงคืนนี้
All of the dogs were alive.	สุนัขทุกตัวยังมีชีวิตอยู่
All of the dogs were alive.	หมาทุกตัวยังมีชีวิตอยู่
An apple fell off the tree.	แอปเปิ้ลหล่นลงมาจากต้นไม้
Are you American or French?	คุณเป็นชาวอเมริกันหรือฝรั่งเศส
Are you going to stay long?	คุณจะอยู่นานไหม?
Can you answer this riddle?	คุณช่วยไขปริศนานี้ได้ไหม?
Can you give me an example?	คุณยกตัวอย่างให้ฉันได้ไหม?
Can you weigh this, please?	คุณช่วยชั่งน้ำหนักสิ่งนี้ได้ไหม?
Do all of you speak French?	คุณทั้งหมดพูดภาษาฝรั่งเศสได้ไหม?
Do you do your own laundry?	คุณซักรีดเสื้อผ้าของตัวเองหรือไม่?
Do you go to school by bus?	ณไปโรงเรียนโดยรถโดยสารประจำทางหรือไม่?
Do you have a large family?	คุณมีครอบครัวใหญ่ไหท?
Do you have a twin brother?	คุณมีพี่ชายฝาแฝดหรือไม่?
Do you know what they said?	คุณรู้ไหมว่าพวกเขาพูดว่าอะไร?
Do you want to say goodbye?	คุณต้องการที่จะบอกลาไหม?
Excuse me, what time is it?	ขอโทษนะ ตอนนี้เวลาเท่าไหร่?
Excuse me, what time is it?	ขอโทษครับ ตอนนี้เวลาเท่าไหร่ครับ?
Excuse me, what time is it?	ขอโทษค่ะ ตอนนี้เวลาเท่าไหร่คะ?
Fill the bottle with water.	เติมน้ำลงในขวดให้เต็ม
He comes here twice a week.	เขามาที่นี่สองครั้งต่อสัปดาห์
He decided to quit smoking.	เขาตัดสินใจเลิกสูบบุหรี่
He is studying agriculture.	เขากำลังศึกษาการเกษตร
He showed us some pictures.	เขาแสดงบางภาพให้เราเห็น
I can't say that to my dad.	ฉันไม่สามารถพูดแบบนั้นกับพ่อของฉันได้
I can't say that to my dad.	ฉันพูดสิ่งนั้นกับพ่อของฉันไม่ได้?
I don't know her real name.	ฉันไม่รู้จักชื่อจริงของเธอ
I drank two cups of coffee.	ฉันดื่มกาแฟสองแก้ว
I feel like having a drink.	ฉันรู้สึกอยากดื่ม
I have nothing more to say.	ฉันไม่มีอะไรจะพูดอีกแล้ว
I left my phone in the car.	ฉันทิ้งโทรศัพท์ไว้ในรถ
I must have made a mistake.	ฉันต้องทำผิดพลาดไปแล้วแน่เลย
I only spent three dollars.	ฉันใช้เงินแค่สามเหรียญเท่านั้น
I saw a little boy running.	ฉันเห็นเด็กชายตัวเล็กกำลังวิ่ง
I teach biology and French.	ฉันสอนชีววิทยาและภาษาฝรั่งเศส
I wish I knew where he was!	ฉันหวังว่าฉันรู้ว่าเขาอยู่ที่ไหน!
I worked all day yesterday.	ฉันทำงานทั้งวันเมื่อวานนี้
I wrote a letter in French.	ฉันเขียนจดหมายเป็นภาษาฝรั่งเศส
I'd like to study in Paris.	ฉันอยากเรียนที่ปารีส
I'm satisfied with my work.	ฉันพอใจกับงานของฉัน
I'm trying to learn French.	ผมพยายามเรียนภาษาฝรั่งเศส
I've always been a fighter.	ฉันเป็นนักสู้เสมอ
I've been focusing on that.	ฉันมุ่งเน้นไปที่นั่น
I've done a lot of skating.	ฉันเล่นสเก็ตมามากแล้ว
I've done a lot of surfing.	ฉันโต้คลื่นไปมากแล้ว
I've forgotten your number.	ฉันลืมเบอร์ของคุณ
I've lived here since 2013.	ฉันอยู่ที่นี่มาตั้งแต่ปี 2556
I've never seen a real cow.	ฉันไม่เคยเห็นวัวจริง
It's always been like that.	มันเป็นอย่างนั้นเสมอ
It's much too cold to swim.	มันเย็นเกินกว่าที่จะว่ายไป
It's none of your business.	มันไม่ใช่ธุระของคุณ
Let me pay for your coffee.	ให้ฉันจ่ายค่ากาแฟคุณ
Many people like to travel.	ผู้คนมากมายชอบที่จะเดินทาง
Mary is a very pretty girl.	แมรี่เป็นเด็กผู้หญิงที่น่ารักมาก
Mary spoke Japanese slowly.	แมรี่พูดภาษาญี่ปุ่นช้าๆ
Most of us need to do that.	พวกเราส่วนใหญ่ต้องทำเช่นนั้น
Most of us want to do that.	พวกเราส่วนใหญ่ต้องการทำเช่นนั้น
No one knows his real name.	ไม่มีใครรู้ชื่อจริงของเขา
Nobody's going to hire you.	ไม่มีใครจะจ้างคุณ
Please make a contribution.	กรุณามีส่วนร่วม
Put in a little more sugar.	ใส่น้ำตาลอีกเล็กน้อย
Rome wasn't built in a day.	กรุงโรมไม่ได้สร้างเสร็จภายในวันเดียว
She has a talent for music.	เธอมีความสามารถด้านดนตรี
She married a rich old man.	เธอแต่งงานกับชายชราที่ร่ำรวย
She was blackmailed by him.	เธอโดนเขา แบล็คเมล์
That book is worth reading.	หนังสือเล่มนั้นคุ้มค่าที่จะอ่าน
That won't change anything.	นั่นจะไม่เปลี่ยนแปลงอะไรทั้งสิ้น
That's my problem with Tom.	นั่นคือปัญหาของฉันกับทอม
The bird flapped its wings.	นกกระพือปีก
The medicine tastes bitter.	ยามีรสขม
The snake swallowed a frog.	งูกลืนกบ
They were born in Thailand.	พวกเขาเกิดในประเทศไทย
This car was made in Japan.	รถคันนี้ผลิตในประเทศญี่ปุ่น
This is a strange sentence.	นี่เป็นประโยคที่แปลก
This is never going to end.	มันจะไม่มีวันจบ
This is where my dad works.	นี่คือที่ที่พ่อฉันทำงาน
This river is deepest here.	แม่น้ำนี้ลึกที่สุดที่นี่
This river is not polluted.	แม่น้ำนี้ไม่มีมลพิษ
This table is made of wood.	โต๊ะนี้ทำจากไม้
This word comes from Greek.	คำนี้มาจากภาษากรีก
This yogurt tastes strange.	โยเกิร์ตนี้รสชาติแปลก ๆ
Tom told me that he's well.	ทอมบอกฉันว่าเขาสบายดี
Tom traveled around Europe.	ทอมเดินทางไปทั่วยุโรป
Tom wants to be a diplomat.	ทอมต้องการเป็นนักการทูต
Tom, your life's in danger.	ทอม ชีวิตคุณกำลังตกอยู่ในอันตราย
Turn off the radio, please.	กรุณาปิดวิทยุ
We can't do that right now.	เราไม่สามารถทำสิ่งนั้นได้ในตอนนี้
We don't care what he does.	เราไม่สนใจสิ่งที่เขาทำ
What are you and Tom up to?	คุณและทอมกำลังทำอะไรอยู่
What are you talking about?	คุณกำลังพูดถึงอะไร?
What would you like to eat?	คุณอยากทานอะไร?
When did you get to London?	คุณมาถึงลอนดอนเมื่อไหร่?
Where's the nearest church?	โบสถ์ที่ใกล้ที่สุดอยู่ที่ไหน
Which book are you reading?	คุณกำลังอ่านหนังสือเล่มไหนอยู่?
Who's the fastest one here?	ใครที่เร็วที่สุดที่นี่?
World War II ended in 1945.	สงครามโลกครั้งที่สองสิ้นสุดลงในปี 1945
You do what you have to do.	คุณทำสิ่งที่คุณต้องทำ
You haven't changed at all.	คุณไม่ได้เปลี่ยนไปเลย
You must leave immediately.	คุณต้องไปทันที
You're going the wrong way.	คุณกำลังไปในทางที่ผิด
You're not listening to me.	คุณไม่ได้ฟังฉัน
Did you watch TV last night?	เมื่อคืนคุณได้ดูทีวีหรือเปล่า?
Do you have today's tickets?	คุณมีตั๋วสำหรับวันนี้ไหม
Do you want a cup of coffee?	คุณต้องการกาแฟซักแก้วไหม?
Doesn't Tom want to do that?	ทอมต้องการทำอย่างนั้นไม่ใช่เหรอ?
Don't talk in the classroom.	อย่าพูดในห้องเรียน
He doesn't have any friends.	เขาไม่มีเพื่อนเลย
He was sitting on the floor.	เขานั่งอยู่บนพื้น
Her dream is to visit Paris.	ความฝันของเธอคือไปเที่ยวปารีส
How are things in Australia?	ออสเตรเลียเป็นอย่างไรบ้าง?
How are you doing in school?	คุณเป็นอย่างไรในโรงเรียน?
How long will you stay here?	คุณจะอยู่ที่นี่อีกนานแค่ไหน?
How much is that in dollars?	นั่นราคาเท่าไหร่ในดอลลาร์
I bumped into Tom in Boston.	ฉันชนทอมในบอสตัน
I can't think of everything.	ฉันไม่สามารถคิดได้ทุกอย่าง
I could answer his question.	ฉันตอบคำถามของเขาได้
I don't have any more ideas.	ฉันไม่มีไอเดียอย่างอี่นอีกแล้ว
I don't want to do it again.	ฉันไม่ต้องการที่จะทำมันอีกครั้ง
I have finished my homework.	ฉันทำการบ้านฉันเสร็จแล้ว
I have no idea how I did it.	ฉันไม่รู้ว่าฉันทำมันได้อย่างไร
I have nothing better to do.	ฉันไม่มีอะไรดีกว่าที่จะทำ
I solved the problem easily.	ฉันแก้ไขปัญหาได้อย่างง่ายดาย
I thought he was my brother.	ฉันคิดว่าเขาเป็นพี่ชายของฉัน
I want to sit in the middle.	ฉันอยากนั่งตรงกลาง
I was trying to talk to you.	ฉันพยายามคุยกับคุณ
I was very tired last night.	เมื่อคืนฉันเหนื่อยมาก
I'm more beautiful than you.	ฉันสวยกว่าคุณ
I'm not very good at French.	ฉันไม่ค่อยเก่งภาษาฝรั่งเศส
I'm talking about my friend.	ฉันกําลังพูดถึงเพื่อนฉัน
Is it made of wood or metal?	มันทำจากไม้หรือโลหะ?
Most people think I'm crazy.	คนส่วนใหญ่คิดว่าฉันบ้า
My father is in good health.	พ่อของฉันมีสุขภาพที่ดี
My grandson is still a baby.	หลานชายของฉันยังเป็นเด็ก
My guess is that it'll rain.	ฉันเดาว่าฝนจะตก
Nobody knows where Tom went.	ไม่มีใครรู้ว่าทอมไปไหน
Oh, no! My passport is gone!	ไม่นะ! พาสปอร์ดฉันหายไปแล้ว!
She likes jazz, and so do I.	เธอชอบแจ๊สและฉันก็เช่นกัน
She seems to be a good cook.	เธอดูเหมือนจะเป็นแม่ครัวที่ดี
She treated him like a king.	เธอปฏิบัติต่อเขาดั่งราชา
She was almost hit by a car.	เธอเกือบจะถูกรถชน
Take off your socks, please.	กรุณาถอดถุงเท้าของคุณ
Ten houses were burned down.	บ้านสิบหลังถูกไฟไหม้
Thank you for understanding.	ขอบคุณที่เข้าใจ
Thanks for your explanation.	ขอบคุณสำหรับคำอธิบายของคุณ
That's what we want to know.	นั่นคือสิ่งที่เราอยากที่จะรู้
The train arrived in London.	รถไฟมาถึงในลอนดอน
They are about the same age.	พวกเขาอายุใกล้เคียงกัน
This is a comfortable chair.	เก้าอี้ตัวนี้นั่งสบายจัง
This website is very useful.	เว็บไซต์นี้มีประโยชน์มาก
Tom has high blood pressure.	ทอมมีความดันโลหิตสูง
Tom has written three books.	ทอมเขียนหนังสือสามเล่ม
Tom is drinking some coffee.	ทอมกำลังดื่มกาแฟ
Tom is liked by his friends.	ทอมเป็นที่รักของเพื่อนของเขา
Tom is the man of my dreams.	ทอมคือผู้ชายในฝันของฉัน
Tom works from nine to five.	ทอมทำงานตั้งแต่เก้าโมงเช้าถึงห้าโมงเย็น
Twenty years already passed.	ยี่สิบปีผ่านไปแล้ว
We get together once a year.	เรามารวมตัวกันปีละครั้ง
We're a peace-loving nation.	พวกเราคือประเทศที่รักสันติภาพ
Were you at home last night?	เมื่อคืนคุณอยู่บ้านไหม?
What are you thinking about?	คุณคิดเกี่ยวกับอะไร?
Where did I put my car keys?	ฉันเอากุญแจรถยนต์ของฉันไปไว้ไหน
Where did I put the car key?	ฉันเอากุญแจรถยนต์ไปไว้ไหน
Why are you studying French?	ทำไมคุณถึงเรียนภาษาฝรั่งเศส?
You can go home if you like.	คุณกลับบ้านได้ถ้าต้องการ
You must show your passport.	คุณต้องแสดงหนังสือเดินทางของคุณ
You need to be more careful.	คุณต้องระวังให้มากขึ้นกว่านี้
You should begin right away.	คุณควรเริ่มต้นทันที
You will see the difference.	คุณจะเห็นความแตกต่าง
You're so impatient with me.	เธอใจร้อนกับฉันจังเลย
Can I have your phone number?	ฉันขอเบอร์โทรศัพท์ของคุณได้ไหม?
Could you please repeat that?	คุณกรุณาพูดสิ่งนั้นซ้ำได้ไหม?
Did you read that thick book?	คุณอ่านหนังสือเล่มหนาเล่มนั้นหรือยัง?
Did you really tell Tom that?	คุณบอกเรื่องนั้นกับทอมจริงๆ หรือ?
Do you want to do it with me?	คุณต้องการทำมันกับฉันมั้ย
Don't lean against this wall.	อย่าพิงกำแพงนี้
Don't put books on the table.	อย่าวางหนังสือไว้บนโต๊ะ
Don't underestimate my power.	อย่าประมาทพลังของฉัน
Every problem has a solution.	ทุกปัญหามีทางออก
Has the mailman already come?	บุรุษไปรษณีย์มาแล้วหรือยัง?
Have you ever been to Europe?	คุณเคยไปยุโรปไหม?
Have you ever sung in French?	คุณเคยร้องเพลงเป็นภาษาฝรั่งเศสบ้างไหม?
